,Network,Date,Time,Program,Length,Rating,Minute_In_Commercial,Total_Loss_perc
92,DKN,9/28/15,10:32 PM,BLINDSPOT,60,2.237863404,0,2.573846067
93,DKN,9/28/15,10:33 PM,BLINDSPOT,60,2.290867181,1,1.234122297
94,DKN,9/28/15,10:34 PM,BLINDSPOT,60,2.357991286,0,1.31812831
95,DKN,9/28/15,10:35 PM,BLINDSPOT,60,2.386143999,0,1.606495318
96,DKN,9/28/15,10:36 PM,BLINDSPOT,60,2.385275457,0,1.101070442
97,DKN,9/28/15,10:37 PM,BLINDSPOT,60,2.394184753,0,2.480708549
98,DKN,9/28/15,10:38 PM,BLINDSPOT,60,2.359033683,0,1.757380999
99,DKN,9/28/15,10:39 PM,BLINDSPOT,60,2.352893943,1,8.515583384
100,DKN,9/28/15,10:40 PM,BLINDSPOT,60,2.167037135,1,2.873600683
101,DKN,9/28/15,10:41 PM,BLINDSPOT,60,2.154622296,1,2.917175656
102,DKN,9/28/15,10:42 PM,BLINDSPOT,60,2.191556643,1,2.337011742
103,DKN,9/28/15,10:43 PM,BLINDSPOT,60,2.263548101,1,1.300276623
104,DKN,9/28/15,10:44 PM,BLINDSPOT,60,2.308598842,0,2.878592725
105,DKN,9/28/15,10:45 PM,BLINDSPOT,60,2.301365591,0,0.854352055
106,DKN,9/28/15,10:46 PM,BLINDSPOT,60,2.358635548,0,1.723015741
107,DKN,9/28/15,10:47 PM,BLINDSPOT,60,2.369319107,0,0.954130223
108,DKN,9/28/15,10:48 PM,BLINDSPOT,60,2.359265088,1,9.982931243
109,DKN,9/28/15,10:49 PM,BLINDSPOT,60,2.142063896,1,2.271299583
110,DKN,9/28/15,10:50 PM,BLINDSPOT,60,2.155727534,1,3.32710524
111,DKN,9/28/15,10:51 PM,BLINDSPOT,60,2.160414344,1,2.729573802
112,DKN,9/28/15,10:52 PM,BLINDSPOT,60,2.187786659,1,1.438016715
113,DKN,9/28/15,10:53 PM,BLINDSPOT,60,2.261428023,1,2.340452349
114,DKN,9/28/15,10:54 PM,BLINDSPOT,60,2.265129122,0,1.668678606
115,DKN,9/28/15,10:55 PM,BLINDSPOT,60,2.281066216,0,1.110885086
116,DKN,9/28/15,10:56 PM,BLINDSPOT,60,2.299671747,0,1.010378971
117,DKN,9/28/15,10:57 PM,BLINDSPOT,60,2.32206791,1,8.424706463
